employee_id,age,gender,department,job_role,education_level,tenure_years,monthly_income,job_satisfaction,work_life_balance,overtime_hours,performance_rating,attrition
EMP0101,58,Female,HR,HR Generalist,High School,17,55178,3,1,27,1,True
EMP0102,44,Other,Finance,Financial Analyst,Bachelors,19,122718,2,1,73,3,True
EMP0103,39,Female,HR,HR Manager,Masters,19,76757,2,5,14,5,False
EMP0104,28,Female,HR,HR Manager,Bachelors,6,49487,3,2,19,4,False
EMP0105,46,Male,IT,Data Scientist,Masters,12,123676,2,3,31,4,True
EMP0106,25,Male,Operations,Operations Associate,High School,5,133911,4,5,8,5,False
EMP0107,43,Female,Marketing,Marketing Specialist,Bachelors,9,97056,3,4,13,3,False
EMP0108,23,Male,Operations,Logistics Manager,High School,2,92838,4,3,21,4,False
EMP0109,35,Female,Sales,Sales Manager,Masters,1,39284,2,5,32,3,False
EMP0110,37,Other,HR,HR Manager,Bachelors,2,49447,1,1,12,3,False
EMP0111,24,Female,Marketing,Marketing Specialist,High School,2,67502,3,4,25,2,True
EMP0112,26,Other,R&D,Product Developer,Bachelors,5,119393,4,3,67,4,False
EMP0113,47,Other,Finance,Financial Analyst,Bachelors,14,114059,1,4,16,5,False
EMP0114,60,Female,Marketing,Content Creator,PhD,10,45058,3,1,11,1,True
EMP0115,40,Male,HR,HR Generalist,Masters,17,80217,2,3,24,1,False
EMP0116,29,Male,Sales,Sales Manager,Masters,1,132506,4,2,33,1,True
EMP0117,52,Female,Finance,Financial Analyst,Masters,21,147218,1,5,38,4,True
EMP0118,41,Male,R&D,Product Developer,High School,11,44909,5,2,42,5,False
EMP0119,46,Male,Operations,Logistics Manager,Bachelors,5,119028,4,2,16,1,True
EMP0120,36,Male,R&D,Research Scientist,Masters,15,144680,2,1,58,2,False
EMP0121,26,Female,Marketing,Marketing Specialist,Masters,3,143029,3,5,23,2,False
EMP0122,28,Male,HR,HR Generalist,High School,4,122061,4,1,39,4,False
EMP0123,41,Female,R&D,Research Scientist,Bachelors,3,34986,2,4,33,1,True
EMP0124,24,Male,Sales,Sales Manager,Bachelors,3,129239,5,2,54,2,True
EMP0125,32,Male,Sales,Sales Executive,High School,12,107436,4,1,19,3,False
EMP0126,52,Other,Sales,Sales Manager,PhD,18,90967,4,5,31,5,False
EMP0127,60,Other,Finance,Financial Analyst,PhD,8,48669,2,5,11,4,True
EMP0128,24,Female,IT,IT Manager,Masters,2,216201,2,3,39,2,True
EMP0129,35,Female,R&D,Research Scientist,Masters,0,131381,5,3,30,1,False
EMP0130,25,Other,HR,HR Manager,PhD,0,85588,3,4,4,3,False
EMP0131,42,Male,R&D,Research Scientist,Bachelors,17,102193,3,5,25,2,True
EMP0132,43,Other,Operations,Operations Associate,Masters,18,57359,1,3,28,1,False
EMP0133,22,Other,Operations,Operations Associate,PhD,0,65218,1,5,23,3,True
EMP0134,26,Female,Finance,Accountant,High School,3,35626,1,5,21,4,False
EMP0135,40,Male,Finance,Financial Analyst,Masters,2,43557,3,2,33,4,True
EMP0136,52,Female,Finance,Financial Analyst,PhD,25,56664,2,4,2,5,False
EMP0137,38,Female,Sales,Sales Executive,PhD,9,142727,3,2,20,1,True
EMP0138,49,Female,IT,DevOps Engineer,Masters,17,192383,2,2,21,1,True
EMP0139,41,Female,Operations,Operations Associate,Masters,19,128392,2,1,37,2,True
EMP0140,24,Male,HR,HR Generalist,High School,3,103533,3,3,17,4,False
EMP0141,37,Other,Operations,Operations Associate,High School,12,45914,5,1,31,2,False
EMP0142,35,Other,Operations,Operations Associate,Bachelors,6,59171,2,5,21,1,True
EMP0143,33,Other,HR,HR Manager,Masters,0,71062,1,5,29,3,False
EMP0144,27,Male,R&D,Product Developer,PhD,1,33480,3,2,3,5,True
EMP0145,30,Male,HR,HR Manager,PhD,2,131175,4,1,38,4,True
EMP0146,36,Female,Sales,Sales Executive,High School,5,65045,4,5,38,2,False
EMP0147,51,Female,Marketing,Content Creator,Masters,29,131572,4,2,13,1,False
EMP0148,30,Female,Sales,Sales Executive,PhD,2,46488,2,2,5,2,True
EMP0149,37,Other,Finance,Financial Analyst,Masters,6,144618,1,3,35,5,False
EMP0150,44,Female,Marketing,Content Creator,Bachelors,7,121132,4,1,75,5,False
EMP0151,39,Other,Operations,Logistics Manager,Masters,3,66079,5,2,39,1,True
EMP0152,48,Other,HR,HR Generalist,PhD,28,54989,1,3,12,1,False
EMP0153,55,Female,Sales,Sales Executive,High School,3,69459,1,3,38,4,False
EMP0154,44,Male,IT,IT Manager,PhD,23,115673,4,5,5,2,False
EMP0155,45,Other,Finance,Financial Analyst,Masters,25,35018,1,5,75,4,True
EMP0156,53,Female,Marketing,Content Creator,High School,26,106667,4,2,3,5,False
EMP0157,59,Female,IT,Software Engineer,Bachelors,25,84797,4,1,2,2,True
EMP0158,35,Male,HR,HR Manager,High School,14,95346,4,5,26,1,False
EMP0159,33,Female,R&D,Research Scientist,Masters,8,142252,4,4,39,1,False
EMP0160,58,Female,Operations,Logistics Manager,Masters,31,63280,5,2,61,5,True
EMP0161,45,Female,Finance,Accountant,Bachelors,18,59615,4,5,32,1,True
EMP0162,55,Other,HR,HR Manager,High School,10,149083,1,3,7,1,True
EMP0163,30,Female,R&D,Product Developer,PhD,3,71196,1,5,40,1,False
EMP0164,24,Male,R&D,Product Developer,Masters,0,93970,3,2,22,2,True
EMP0165,58,Female,R&D,Research Scientist,Bachelors,5,127752,1,5,29,1,True
EMP0166,30,Other,Sales,Sales Executive,Bachelors,7,69018,1,2,5,5,True
EMP0167,48,Female,R&D,Research Scientist,Bachelors,11,104840,4,4,33,3,False
EMP0168,39,Male,Finance,Accountant,Bachelors,15,100219,3,2,17,4,False
EMP0169,51,Other,Operations,Logistics Manager,Masters,6,45066,4,3,16,2,False
EMP0170,32,Female,Marketing,Marketing Specialist,Bachelors,7,46896,1,2,40,4,False
EMP0171,30,Other,HR,HR Generalist,High School,0,121722,4,4,46,5,True
EMP0172,56,Female,Operations,Operations Associate,PhD,19,96897,4,1,36,1,False
EMP0173,57,Female,IT,IT Manager,PhD,2,83806,5,3,18,1,False
EMP0174,26,Other,Sales,Sales Manager,Bachelors,4,109712,5,1,40,4,False
EMP0175,35,Male,R&D,Research Scientist,Bachelors,13,91784,4,1,28,3,False
EMP0176,38,Other,Finance,Accountant,Masters,6,60811,4,3,79,5,False
EMP0177,53,Female,Sales,Sales Manager,Bachelors,1,139120,4,5,33,1,True
EMP0178,50,Other,R&D,Research Scientist,Bachelors,6,58723,3,4,49,1,True
EMP0179,31,Male,Sales,Sales Manager,High School,4,75233,2,5,31,4,True
EMP0180,34,Male,Operations,Logistics Manager,PhD,4,38326,5,4,13,1,False
EMP0181,59,Other,Finance,Accountant,Bachelors,18,93280,3,5,30,3,False
EMP0182,55,Other,IT,Data Scientist,Bachelors,13,149525,3,5,17,3,False
EMP0183,29,Other,R&D,Product Developer,Masters,2,63141,5,4,50,3,False
EMP0184,30,Other,Finance,Accountant,Masters,5,119246,3,2,1,2,True
EMP0185,45,Male,R&D,Research Scientist,PhD,14,148086,2,4,26,3,True
EMP0186,32,Other,Sales,Sales Executive,PhD,9,42413,1,5,36,4,True
EMP0187,60,Female,Finance,Financial Analyst,High School,5,81039,4,2,33,5,False
EMP0188,46,Other,IT,Data Scientist,Bachelors,8,157436,5,4,9,5,False
EMP0189,35,Male,Operations,Logistics Manager,Masters,14,61736,2,5,40,4,True
EMP0190,43,Female,Finance,Accountant,High School,7,59740,1,3,25,2,False
EMP0191,31,Other,Marketing,Content Creator,PhD,10,38871,2,5,7,2,True
EMP0192,50,Female,Operations,Operations Associate,PhD,11,136885,2,1,13,3,True
EMP0193,59,Male,Finance,Accountant,Bachelors,35,139269,3,2,14,2,True
EMP0194,46,Male,Operations,Logistics Manager,Bachelors,0,124084,1,1,40,2,True
EMP0195,52,Other,IT,DevOps Engineer,Masters,4,140845,2,3,73,2,True
EMP0196,26,Male,Sales,Sales Executive,PhD,5,34312,1,5,32,5,False
EMP0197,27,Male,Finance,Financial Analyst,PhD,4,135999,2,2,33,5,True
EMP0198,39,Male,HR,HR Manager,Bachelors,13,41432,1,2,21,1,True
EMP0199,23,Female,Marketing,Content Creator,High School,2,84942,2,5,15,3,True
EMP0200,60,Female,R&D,Product Developer,Masters,25,81508,1,3,29,1,True
EMP0201,26,Female,IT,Software Engineer,PhD,3,133302,5,3,13,2,True
EMP0202,25,Other,Operations,Logistics Manager,Masters,3,98840,1,3,30,1,False
EMP0203,24,Female,Marketing,Marketing Specialist,High School,0,89594,3,1,19,3,False
EMP0204,28,Other,R&D,Product Developer,Masters,4,100624,5,4,36,5,False
EMP0205,26,Female,Operations,Logistics Manager,PhD,3,130728,3,2,58,5,True
EMP0206,50,Other,Sales,Sales Manager,PhD,25,70410,1,2,23,2,True
EMP0207,35,Female,Operations,Logistics Manager,PhD,14,139496,3,2,5,1,True
EMP0208,49,Other,R&D,Product Developer,High School,5,82150,5,3,65,2,True
EMP0209,48,Other,IT,DevOps Engineer,Bachelors,13,126264,1,1,40,5,False
EMP0210,47,Female,Operations,Operations Associate,PhD,20,93706,2,5,23,2,True
EMP0211,34,Male,Finance,Financial Analyst,Bachelors,14,78789,1,2,37,2,True
EMP0212,41,Female,HR,HR Generalist,Masters,21,83413,4,4,12,4,False
EMP0213,57,Female,Sales,Sales Manager,Bachelors,1,75723,5,2,8,4,True
EMP0214,43,Male,Marketing,Content Creator,Masters,23,70229,3,5,34,1,True
EMP0215,37,Female,R&D,Product Developer,PhD,1,72438,1,4,58,4,True
EMP0216,25,Male,Sales,Sales Executive,PhD,2,45110,3,2,20,3,False
EMP0217,35,Other,R&D,Product Developer,PhD,13,105040,2,4,37,5,False
EMP0218,54,Other,Marketing,Marketing Specialist,Bachelors,25,138850,2,3,31,2,True
EMP0219,33,Male,HR,HR Generalist,PhD,1,68402,1,2,33,4,True
EMP0220,59,Male,Operations,Operations Associate,Bachelors,29,115500,2,2,1,3,False
EMP0221,47,Male,Sales,Sales Executive,Bachelors,6,151559,1,3,30,4,True
EMP0222,58,Female,Finance,Financial Analyst,PhD,28,121351,4,5,9,2,True
EMP0223,25,Other,Marketing,Content Creator,Bachelors,4,23311,2,3,24,2,False
EMP0224,57,Other,R&D,Product Developer,High School,2,96959,4,3,17,2,False
EMP0225,34,Male,Sales,Sales Manager,Masters,11,106904,2,4,67,3,False
EMP0226,52,Male,Finance,Financial Analyst,High School,25,85030,4,3,45,2,False
EMP0227,37,Female,Operations,Logistics Manager,Masters,12,54536,1,3,47,4,True
EMP0228,36,Female,HR,HR Manager,Masters,3,52180,5,4,33,3,False
EMP0229,42,Female,R&D,Research Scientist,Bachelors,8,52341,3,1,53,2,True
EMP0230,30,Other,Operations,Logistics Manager,High School,8,141442,1,4,17,3,True
EMP0231,51,Other,Sales,Sales Executive,High School,2,101354,2,5,34,2,True
EMP0232,35,Male,R&D,Product Developer,High School,1,67728,5,5,40,3,False
EMP0233,39,Male,Finance,Financial Analyst,High School,6,141902,2,1,5,4,True
EMP0234,52,Female,Operations,Operations Associate,PhD,20,78757,4,2,30,5,False
EMP0235,27,Other,Operations,Logistics Manager,High School,3,77346,4,5,10,4,False
EMP0236,48,Other,Marketing,Marketing Specialist,High School,22,60541,3,1,23,1,True
EMP0237,30,Other,Operations,Logistics Manager,Masters,10,62941,2,2,0,1,True
EMP0238,36,Female,Sales,Sales Manager,PhD,15,96222,5,5,17,3,False
EMP0239,41,Female,IT,Software Engineer,PhD,4,81380,4,2,31,1,False
EMP0240,53,Male,IT,IT Manager,Masters,22,49467,1,1,8,1,False
EMP0241,59,Female,Finance,Accountant,Bachelors,5,107966,3,3,14,1,False
EMP0242,32,Male,Sales,Sales Executive,Masters,5,29282,3,2,25,2,False
EMP0243,25,Male,HR,HR Manager,High School,3,153994,1,2,17,2,False
EMP0244,42,Male,Finance,Accountant,Bachelors,16,35007,2,3,54,2,True
EMP0245,26,Male,Marketing,Marketing Specialist,Masters,4,104694,2,3,11,5,True
EMP0246,27,Male,IT,DevOps Engineer,Masters,7,88033,2,5,26,5,True
EMP0247,36,Other,Finance,Accountant,Bachelors,9,63611,4,5,57,1,False
EMP0248,30,Other,Sales,Sales Manager,Bachelors,8,67999,3,5,17,4,False
EMP0249,23,Other,HR,HR Generalist,High School,0,133040,5,3,80,4,False
EMP0250,34,Male,IT,Software Engineer,Bachelors,6,199140,4,1,15,5,False
EMP0251,60,Other,Operations,Logistics Manager,PhD,38,157317,3,5,0,1,True
EMP0252,54,Female,R&D,Research Scientist,PhD,26,140411,3,2,34,4,False
EMP0253,52,Other,HR,HR Manager,High School,0,115782,2,4,23,5,False
EMP0254,46,Male,Finance,Financial Analyst,High School,19,66980,3,3,23,5,False
EMP0255,56,Other,Finance,Accountant,Masters,15,54237,3,1,64,4,False
EMP0256,25,Male,Operations,Operations Associate,Masters,3,135478,3,4,23,5,False
EMP0257,37,Male,Finance,Accountant,Bachelors,8,35294,3,1,4,4,True
EMP0258,24,Female,IT,Software Engineer,Masters,4,82732,3,5,14,3,False
EMP0259,47,Male,IT,Data Scientist,PhD,23,84442,2,1,50,5,False
EMP0260,55,Female,Sales,Sales Manager,Bachelors,23,135874,3,3,10,2,False
EMP0261,38,Male,Sales,Sales Manager,Masters,4,116275,1,1,29,3,True
EMP0262,35,Other,Sales,Sales Manager,PhD,2,136061,4,5,40,5,False
EMP0263,36,Other,IT,DevOps Engineer,Masters,14,187231,1,1,18,4,False
EMP0264,39,Female,IT,IT Manager,Bachelors,6,105632,2,1,24,5,True
EMP0265,47,Male,R&D,Product Developer,High School,19,60217,5,1,1,5,True
EMP0266,46,Female,IT,Software Engineer,PhD,22,103395,3,4,15,3,False
EMP0267,45,Female,Sales,Sales Manager,PhD,21,92368,5,2,68,4,True
EMP0268,57,Female,Marketing,Marketing Specialist,Bachelors,14,43128,4,5,15,3,False
EMP0269,60,Female,IT,IT Manager,Masters,12,141116,5,2,28,2,True
EMP0270,35,Other,R&D,Research Scientist,PhD,7,107501,1,1,51,5,True
EMP0271,60,Male,Operations,Operations Associate,High School,33,77929,1,2,3,1,False
EMP0272,58,Other,Sales,Sales Executive,High School,36,145622,1,4,63,3,True
EMP0273,24,Female,Operations,Operations Associate,PhD,0,106273,2,3,4,5,False
EMP0274,40,Male,Operations,Logistics Manager,High School,14,88793,5,5,2,3,False
EMP0275,52,Male,R&D,Research Scientist,Bachelors,4,134497,4,1,57,2,True
EMP0276,60,Male,IT,DevOps Engineer,Masters,27,124215,5,2,39,3,False
EMP0277,58,Other,IT,Data Scientist,PhD,17,124928,1,1,62,5,True
EMP0278,37,Female,Sales,Sales Executive,Masters,9,43161,1,5,31,2,False
EMP0279,29,Female,R&D,Research Scientist,Masters,5,51284,3,4,26,2,False
EMP0280,36,Other,IT,Software Engineer,High School,15,214958,2,3,14,5,False
EMP0281,44,Other,HR,HR Generalist,Masters,20,71176,4,1,17,4,True
EMP0282,22,Female,R&D,Product Developer,High School,0,76870,1,4,29,1,True
EMP0283,47,Other,R&D,Product Developer,Masters,27,71828,4,4,4,5,False
EMP0284,52,Male,Finance,Accountant,Bachelors,9,46099,3,2,34,1,False
EMP0285,53,Male,R&D,Product Developer,Masters,3,113377,1,5,33,3,False
EMP0286,46,Male,Operations,Logistics Manager,High School,25,97254,2,1,25,3,True
EMP0287,30,Male,Marketing,Content Creator,High School,9,135312,2,2,1,2,True
EMP0288,23,Other,Marketing,Content Creator,Masters,3,42275,1,2,15,4,True
EMP0289,44,Male,Operations,Operations Associate,High School,6,104325,4,4,18,5,False
EMP0290,40,Other,Operations,Logistics Manager,PhD,11,70485,3,2,76,5,True
EMP0291,34,Other,R&D,Product Developer,High School,13,56668,2,3,19,4,True
EMP0292,31,Female,Finance,Financial Analyst,Masters,6,57978,3,3,77,4,True
EMP0293,31,Male,Finance,Accountant,Masters,11,131863,3,5,24,2,True
EMP0294,32,Female,R&D,Research Scientist,Bachelors,6,126624,1,5,4,2,True
EMP0295,57,Other,Finance,Financial Analyst,Bachelors,17,57170,5,2,0,2,True
EMP0296,48,Female,Operations,Operations Associate,Bachelors,12,87602,1,4,40,5,True
EMP0297,41,Other,Finance,Financial Analyst,PhD,11,35340,4,2,24,1,False
EMP0298,35,Other,Operations,Operations Associate,High School,7,85026,1,2,47,1,True
EMP0299,60,Male,R&D,Research Scientist,High School,23,139760,2,2,23,2,False
EMP0300,41,Female,R&D,Research Scientist,PhD,3,39836,3,2,69,2,True
EMP0301,58,Other,Finance,Accountant,High School,5,142038,5,4,25,4,False
EMP0302,30,Male,Operations,Logistics Manager,PhD,0,142926,4,4,0,1,False
EMP0303,30,Male,HR,HR Generalist,Masters,10,108260,5,2,37,3,True
EMP0304,28,Female,Operations,Operations Associate,Masters,4,41110,3,4,18,1,True
EMP0305,36,Male,Sales,Sales Executive,PhD,4,39559,3,1,20,2,False
EMP0306,52,Other,R&D,Product Developer,Bachelors,0,125526,5,1,6,2,False
EMP0307,30,Male,IT,IT Manager,PhD,9,167670,1,2,21,1,True
EMP0308,51,Male,Finance,Accountant,Bachelors,29,113395,5,2,40,5,False
EMP0309,29,Other,Sales,Sales Manager,High School,3,126273,1,2,56,3,True
EMP0310,26,Male,IT,Software Engineer,Masters,1,77608,3,1,53,4,False
EMP0311,46,Male,Marketing,Content Creator,Masters,15,40997,5,2,76,1,False
EMP0312,27,Male,Operations,Logistics Manager,Bachelors,3,57287,3,1,14,1,True
EMP0313,24,Male,HR,HR Manager,PhD,3,63281,1,1,32,3,True
EMP0314,49,Female,Operations,Operations Associate,Bachelors,15,22533,1,2,32,2,True
EMP0315,30,Male,Finance,Accountant,Masters,1,80648,3,1,9,3,False
EMP0316,28,Male,Finance,Accountant,High School,8,61169,5,3,30,1,True
EMP0317,23,Male,Marketing,Marketing Specialist,High School,3,82577,3,1,23,1,True
EMP0318,39,Other,IT,DevOps Engineer,High School,11,106647,5,4,16,3,False
EMP0319,50,Male,IT,DevOps Engineer,Bachelors,29,162009,2,2,76,3,True
EMP0320,56,Female,HR,HR Generalist,Masters,22,111635,5,2,14,1,True
EMP0321,30,Male,Sales,Sales Executive,Masters,3,83662,2,1,8,4,True
EMP0322,36,Other,Sales,Sales Executive,Bachelors,2,100321,5,2,25,3,False
EMP0323,35,Female,Finance,Accountant,High School,15,40714,2,4,8,3,False
EMP0324,54,Female,Sales,Sales Manager,Bachelors,5,77281,3,3,27,2,False
EMP0325,52,Male,Finance,Accountant,PhD,10,80721,5,1,26,5,False
EMP0326,40,Female,IT,DevOps Engineer,PhD,11,70825,1,2,29,5,True
EMP0327,57,Male,Finance,Accountant,PhD,0,111719,5,1,32,4,True
EMP0328,22,Other,R&D,Product Developer,High School,2,27054,1,1,48,1,True
EMP0329,22,Other,R&D,Research Scientist,PhD,2,96365,1,3,20,3,True
EMP0330,23,Other,Operations,Operations Associate,Bachelors,1,89041,1,4,46,5,True
EMP0331,34,Female,Finance,Financial Analyst,High School,10,59084,2,2,16,4,True
EMP0332,43,Female,Sales,Sales Executive,High School,12,55171,5,4,28,2,False
EMP0333,59,Other,Operations,Operations Associate,PhD,20,121243,3,3,59,5,True
EMP0334,34,Male,Finance,Financial Analyst,Masters,1,121602,1,1,32,5,True
EMP0335,26,Other,Finance,Accountant,Masters,0,128957,3,2,22,2,True
EMP0336,49,Other,Finance,Financial Analyst,High School,7,139213,3,4,3,2,False
EMP0337,42,Male,R&D,Research Scientist,High School,21,123716,3,4,11,3,False
